1,"La force de l'Internet se manifeste en grande partie, dans la capacité de navigation que permet le réseau.","Joël de Rosnay","2015-06-18 13:16:52.070730","2015-06-18 13:16:52.070730"
2,"Sur internet, on peut écouter la radio tout en payant le téléphone.","Anne Roumanoff","2015-06-19 09:24:12.950033","2015-06-19 09:24:12.950033"
3,"Le meilleur manager est celui qui sait trouver les talents pour faire les choses, et qui sait aussi réfréner son envie de s'en mêler pendant qu'ils les font.","Theodore Roosevelt","2015-06-19 09:25:13.480166","2015-06-19 09:25:13.480166"
4,"Je n’ai pas échoué. J’ai simplement trouvé 10.000 solutions qui ne fonctionnent pas.","Thomas Edison","2015-06-19 09:25:56.716323","2015-06-19 09:25:56.716323"
5,"Si vous vous trouvez face à un mur, ne vous retournez pas. Trouvez un moyen de le franchir ou de le contourner.","Michael Jordan","2015-06-19 09:26:52.149382","2015-06-19 09:26:52.149382"
6,"On paie mal un maître en ne restant toujours que l'élève.","Friedrich Nietzsche","2015-06-19 09:27:49.983393","2015-06-19 09:27:49.983393"
7,"Ce dessin m'a pris cinq minutes, mais j'ai mis soixante ans pour y arriver.","Auguste Renoir","2015-06-19 09:28:30.003701","2015-06-19 09:28:30.003701"
8,"La technique est moins importante que les hommes ou que la société, l'important, c'est le projet humain qui est derrière.","Dominique Wolto","2015-06-19 09:29:33.000791","2015-06-19 09:29:33.000791"
9,"Ne te contente pas du qu’est-ce que c’est, mais essaie de savoir le pourquoi et le comment.","Robert Baden-Powell","2015-06-19 10:47:37.570648","2015-06-19 10:47:37.570648"
10,"Tout obstacle renforce la détermination. Celui qui s'est fixé un but n'en change pas.","Léonard De Vinci","2015-06-19 10:48:30.043835","2015-06-19 10:48:30.043835"
11,"Il n'y a point de méthode facile pour apprendre les choses difficiles.","Joseph De Maistre","2015-06-19 10:49:09.635888","2015-06-19 10:49:09.635888"
12,"Tu me dis, j'oublie ; tu m'enseignes, je me souviens ; tu m'impliques, j'apprends.","Benjamin Franklin","2015-06-19 10:50:16.291864","2015-06-19 10:50:16.291864"
13,"Le mieux est l’ennemi du bien.","Voltaire, La Bégueule, 1772","2015-06-19 10:55:09.506427","2015-06-19 10:55:09.506427"
14,"Quand on y pense, c’est une activité belle et absurde de parler à un abruti aussi absolu que l’ordinateur.","Gérard Berry","2015-06-19 10:57:21.181898","2015-06-19 10:57:21.181898"
15,"Plus on connaît, plus on aime.","Léonard De Vinci","2015-06-19 14:56:21.626948","2015-06-19 14:56:21.626948"
16,"L’avenir ne se prévoit pas, il se prépare.","Maurice Blondel","2015-06-23 08:14:36.480200","2015-06-23 08:14:36.480200"
17,"Attendre d’en savoir assez pour agir, c’est se condamner à l’inaction.","Jean Rostand","2015-06-23 08:16:19.214489","2015-06-23 08:16:19.214489"
18,"Un bon site Web est toujours en construction !",Anonyme,"2015-06-23 08:17:50.242312","2015-06-23 08:17:50.242312"
19,"On considère que les neuf dixièmes du code correspondent à environ 90% du temps de développement. Les 10% restant correspondent également à 90% du temps de développement.","Tom Cargill","2015-06-23 08:19:56.246756","2015-06-23 08:19:56.246756"
20,"Les deux principales inventions sorties de Berkeley sont UNIX et le LSD. Difficile de croire à une quelconque coïncidence.","Jeremy S. Anderson","2015-06-23 08:21:49.433867","2015-06-23 08:21:49.433867"
21,"Avant de vouloir qu’un logiciel soit réutilisable, il faudrait d’abord qu’il ait été utilisable.","Ralph Johnson","2015-06-23 08:22:57.080173","2015-06-23 08:22:57.080173"
22,"L'erreur est humaine mais un véritable désastre nécessite un ordinateur.","Bill Gates","2015-06-23 08:24:41.624100","2015-06-23 08:24:41.624100"
23,"La patience est un élément clé de la réussite.","Bill Gates","2015-06-23 08:28:21.573008","2015-06-23 08:28:21.573008"
24,"Piètre disciple, qui ne surpasse pas son maître !","Léonard De Vinci","2015-06-23 08:33:36.729286","2015-06-23 08:33:36.729286"
25,"Piètre disciple, qui ne surpasse pas son maître !","Léonard De Vinci","2015-06-23 08:34:24.603616","2015-06-23 08:34:24.603616"
